Accession	Gene	protein_logFC	protein_padj	gene_logFC	gene_padj	Groups
P17342	NPR3	-5.5055	0	-3.1108	0	Down/Down
Q00534	CDK6	-3.4506	0	-0.5464	0.0135	Down/Down
Q9BZQ8	NIBAN1	2.318	0	1.378	0	Up/Up
P21589	NT5E	5.0213	0	3.2549	0	Up/Up
Q8N3E9	PLCD3	1.889	0	0.5923	0	Up/Up
O00469	PLOD2	2.2358	0	1.6892	0	Up/Up
P29373	CRABP2	-1.5575	0	-2.6029	0	Down/Down
P78504	JAG1	-3.1257	0	-1.555	0	Down/Down
Q8IVL1	NAV2	-2.0055	0	-1.0848	0	Down/Down
Q9GZT9	EGLN1	1.809	0	0.9308	0	Up/Up
P06737	PYGL	0.9538	0	0.9661	0	Up/Up
P06702	S100A9	3.511	0	3.1953	0	Up/Up
Q01581	HMGCS1	-1.9465	0	-2.2192	0	Down/Down
Q16555	DPYSL2	-1.7508	0	-0.5366	0.0099	Down/Down
P52566	ARHGDIB	1.5033	0	1.5645	0	Up/Up
Q96FQ6	S100A16	2.6687	0	2.6063	0	Up/Up
P55209	NAP1L1	-0.9528	0	-0.9456	0	Down/Down
Q9Y6Q1	CAPN6	-4.304	0	-3.651	0	Down/Down
P02751	FN1	2.5438	0	3.146	0	Up/Up
Q9Y696	CLIC4	1.116	0	1.2735	0	Up/Up
P00918	CA2	1.3344	0	0.3444	0.0011	Up/Up
O95171	SCEL	0.9744	0	1.801	0	Up/Up
P05109	S100A8	3.424	0	1.7984	0	Up/Up
Q9BQI0	AIF1L	-2.1036	0	-1.6245	0	Down/Down
P16070	CD44	1.5411	0	2.7573	0	Up/Up
Q9UKU6	TRHDE	-1.0505	0	-1.3118	0	Down/Down
P55285	CDH6	-1.2029	0	-2.0928	0	Down/Down
P26006	ITGA3	1.0355	0	1.9545	0	Up/Up
P45877	PPIC	-2.1135	0	-1.2285	0	Down/Down
P00966	ASS1	-0.951	0	-1.6293	0	Down/Down
Q9NYQ8	FAT2	-1.1564	0	-0.9346	0	Down/Down
Q9BPU6	DPYSL5	-3.5605	0	-1.4443	0	Down/Down
Q96CM8	ACSF2	1.0996	0	0.6018	0	Up/Up
Q9UIQ6	LNPEP	-0.7906	0	-0.9731	0	Down/Down
Q9H223	EHD4	0.929	0	1.4153	0	Up/Up
O95436	SLC34A2	-0.8873	0	-0.8343	0	Down/Down
Q92597	NDRG1	0.8342	0	-0.953	0	Down transcriptome/Up proteome
Q53EL6	PDCD4	1.0322	0	-0.913	0	Down transcriptome/Up proteome
Q16658	FSCN1	-0.9735	0	-0.2368	0.0064	Down/Down
P14618	PKM	0.6762	0	0.9172	0	Up/Up
Q7Z478	DHX29	-0.9362	0	-0.5771	0.0164	Down/Down
Q9HBI6	CYP4F11	2.3574	0	1.9058	0	Up/Up
Q9NZU5	LMCD1	-0.7648	0	-1.1753	0	Down/Down
O60437	PPL	1.1067	0	0.9435	0	Up/Up
P23634	ATP2B4	-0.9326	0	-2.0172	0	Down/Down
P17096	HMGA1	1.4745	0	1.8615	0	Up/Up
Q7Z5L9	IRF2BP2	-1.1644	0	-0.5847	0	Down/Down
P54687	BCAT1	-3.4716	0	-3.3682	0	Down/Down
Q15392	DHCR24	1.1858	0	-0.517	0	Down transcriptome/Up proteome
P11802	CDK4	-1.2932	0	-0.417	0	Down/Down
Q92820	GGH	-1.3882	0	-1.1408	0	Down/Down
O60547	GMDS	0.9049	0	0.6981	0	Up/Up
Q8IVF2	AHNAK2	1.2701	0	1.7222	0	Up/Up
O76027	ANXA9	1.6831	0	-0.7881	0	Down transcriptome/Up proteome
Q9BZD4	NUF2	-1.6173	0	-0.7848	0	Down/Down
P49454	CENPF	-1.4278	0	-0.3464	1e-4	Down/Down
P04080	CSTB	0.8952	0	0.7698	0	Up/Up
A1L020	MEX3A	-1.5004	0	-1.3062	0	Down/Down
Q93008	USP9X	-0.9675	0	-0.762	0	Down/Down
Q07065	CKAP4	-0.7713	0	-0.9353	0	Down/Down
P33991	MCM4	-0.7599	0	0.811	0.003	Up transcriptome/Down proteome
P12532	CKMT1A	1.1816	0	0.7095	0	Up/Up
P12532	CKMT1A	1.1816	0	0.405	0.0099	Up/Up
P48436	SOX9	-1.8236	0	1.0587	0	Up transcriptome/Down proteome
Q8N3V7	SYNPO	-3.0831	0	-2.8056	0	Down/Down
Q9UHB6	LIMA1	1.1615	0	1.9418	0	Up/Up
O75923	DYSF	3.0754	0	2.8866	0	Up/Up
P00338	LDHA	0.6007	0	0.7518	0	Up/Up
Q9NPH2	ISYNA1	-1.3688	0	-1.1868	0	Down/Down
O14524	NEMP1	-3.0583	0	-0.9254	0	Down/Down
P23219	PTGS1	-2.669	0	-4.0809	0	Down/Down
O76070	SNCG	1.4701	0	0.4699	0.0334	Up/Up
P21283	ATP6V1C1	0.6828	0	0.6632	0	Up/Up
P07384	CAPN1	0.6077	0	0.8562	0	Up/Up
P49642	PRIM1	-1.1525	0	-0.6876	0	Down/Down
P13591	NCAM1	-0.8693	0	-1.5162	0	Down/Down
Q96HU8	DIRAS2	-2.4567	0	-2.4795	0	Down/Down
P31350	RRM2	-0.8589	0	1.284	0.0312	Up transcriptome/Down proteome
Q01105	SET	-1.0158	0	-0.5238	0	Down/Down
P61106	RAB14	-0.8361	0	-0.9217	0	Down/Down
Q9BWM7	SFXN3	0.9299	0	1.2613	0	Up/Up
O95361	TRIM16	1.2138	0	1.1354	0	Up/Up
P36969	GPX4	0.837	0	0.7802	0	Up/Up
P07737	PFN1	0.595	0	0.6624	0	Up/Up
P09382	LGALS1	0.9964	0	-0.2304	0.0044	Down transcriptome/Up proteome
P05997	COL5A2	-3.5366	0	-3.6581	0	Down/Down
O43570	CA12	1.8971	0	-2.245	0	Down transcriptome/Up proteome
Q6WCQ1	MPRIP	0.8898	0	1.5214	0	Up/Up
P05026	ATP1B1	-1.0297	0	-0.6894	0	Down/Down
P24821	TNC	-1.4685	0	0.3833	0	Up transcriptome/Down proteome
Q96PD2	DCBLD2	0.979	0	2.3868	0	Up/Up
Q02224	CENPE	-1.805	0	-0.7404	4e-4	Down/Down
Q9BVK6	TMED9	-0.9255	0	-0.3295	1e-4	Down/Down
P07858	CTSB	0.7887	0	0.6863	0	Up/Up
P43405	SYK	-1.5556	0	-1.881	0	Down/Down
Q16850	CYP51A1	-2.019	0	-1.2186	0	Down/Down
P80188	LCN2	3.6156	0	1.2021	0	Up/Up
Q52LW3	ARHGAP29	-0.6436	0	-0.4022	0	Down/Down
P07741	APRT	0.6401	0	0.6367	0	Up/Up
P00568	AK1	-0.8795	0	-0.8268	0	Down/Down
P38606	ATP6V1A	0.6418	0	0.6796	0	Up/Up
P40121	CAPG	0.8727	0	-0.5222	0.0248	Down transcriptome/Up proteome
O95816	BAG2	-1.1076	0	-0.4941	0	Down/Down
P51149	RAB7A	0.5715	0	0.54	0.0017	Up/Up
Q9Y478	PRKAB1	-1.3326	0	-0.2403	0.0404	Down/Down
Q14766	LTBP1	-6.3901	0	-3.4399	0	Down/Down
P47989	XDH	1.5295	0	1.6282	0	Up/Up
Q9Y305	ACOT9	0.683	0	0.3323	0.0019	Up/Up
Q96CG8	CTHRC1	1.9385	0	1.3584	0	Up/Up
P80303	NUCB2	-0.9173	0	-0.974	1e-4	Down/Down
Q03135	CAV1	1.3043	0	1.9685	0	Up/Up
Q16204	CCDC6	-1.2497	0	-0.7839	0	Down/Down
Q16527	CSRP2	-1.7863	0	-1.6072	0	Down/Down
P36871	PGM1	0.7061	0	0.4073	0	Up/Up
Q6P3W7	SCYL2	-0.9751	0	-0.8595	0	Down/Down
Q9BY43	CHMP4A	-1.1434	0	-0.9099	0	Down/Down
