GO_Term_ID	padj
GO:0099503	0
GO:0030141	0
GO:0140014	0
GO:0051276	0
GO:0098687	0
GO:0000793	0
GO:0000819	0
GO:0051301	0
GO:0000775	0
GO:0048285	0
GO:0007059	0
GO:0022613	0
GO:0010564	0
GO:0051983	0
GO:0033044	0
GO:0031983	0
GO:0098813	0
GO:0048878	0
GO:0044770	0
GO:0000779	0
GO:0050801	0
GO:1905818	0
GO:0006397	0
GO:0007346	0
GO:0005773	0
GO:0010038	0
GO:0010035	0
GO:0009125	0
GO:0000785	1e-04
GO:0042254	1e-04
GO:0016072	1e-04
GO:1901987	1e-04
GO:0006325	1e-04
GO:0000228	1e-04
GO:0005819	1e-04
GO:0051783	2e-04
GO:0051304	2e-04
GO:0044784	2e-04
GO:0033180	2e-04
GO:0006873	2e-04
GO:0009158	2e-04
GO:0016607	3e-04
GO:0090068	3e-04
GO:0000003	3e-04
GO:0007088	4e-04
GO:0101002	4e-04
GO:2001251	5e-04
GO:0005813	6e-04
GO:0048471	6e-04
GO:0016604	8e-04
GO:0019725	8e-04
GO:0000375	8e-04
GO:0034660	8e-04
GO:0005975	9e-04
GO:0055086	0.001
GO:0009126	0.001
GO:0005815	0.001
GO:0000922	0.0011
GO:0000796	0.0012
GO:1904813	0.0012
GO:0003682	0.0012
GO:0050900	0.0012
GO:0051592	0.0014
GO:0055065	0.0015
GO:0030832	0.0015
GO:0008380	0.0015
GO:0045930	0.0015
GO:0051336	0.0015
GO:0072686	0.0016
GO:0009128	0.0016
GO:0009986	0.0017
GO:0022626	0.0017
GO:0035371	0.0017
GO:0033178	0.0018
GO:0060326	0.0018
GO:0033047	0.0018
GO:0045787	0.0019
GO:0032970	0.0019
GO:0045786	0.0019
GO:0050729	0.0019
GO:0000226	0.0019
GO:0006885	0.0019
GO:0009159	0.0019
GO:0034470	0.0019
GO:0072521	0.0021
GO:0052547	0.0021
GO:1902100	0.0021
GO:0044815	0.0022
GO:0006082	0.0023
GO:0042278	0.0024
GO:0051784	0.0026
GO:0042060	0.0026
GO:0009123	0.0028
GO:0005774	0.0028
GO:0044839	0.0029
GO:0050920	0.0029
GO:0040017	0.0031
GO:0010948	0.0031
GO:1902850	0.0037
GO:0006812	0.0038
GO:0032993	0.004
GO:0030672	0.004
GO:0007051	0.0042
GO:0006338	0.0044
GO:0031023	0.0044
GO:0042274	0.0044
GO:0009161	0.0045
GO:0005509	0.0047
GO:0009119	0.0048
GO:0006310	0.0048
GO:0009162	0.005
GO:0046916	0.0052
GO:0009170	0.0053
GO:0009151	0.0053
GO:0110053	0.0058
GO:0006270	0.0059
GO:0031098	0.0059
GO:1990907	0.006
GO:0042555	0.006
GO:0010032	0.0063
GO:0009116	0.0063
GO:0030684	0.0067
GO:0050878	0.0067
GO:0006260	0.0069
GO:0045338	0.0069
GO:0072523	0.007
GO:0071826	0.0071
GO:0044282	0.0071
GO:0007017	0.0073
GO:0006281	0.0076
GO:0006954	0.0079
GO:0030595	0.008
GO:0007052	0.008
GO:1902904	0.008
GO:0009617	0.008
