Vessel Name: 131123_AnnaAamodt_Proliftest1
Date Time	Elapsed	WT (1) 10K / well (A3)	WT (1) 10K / well (A4)	WT (1) 10K / well (B3)	WT (1) 10K / well (B4)	WT (1) 10K / well (C3)	WT (1) 10K / well (C4)	WT (1) 10K / well (D3)	WT (1) 10K / well (D4)	WT (1) 10K / well (E3)	WT (1) 10K / well (E4)	WT (1) 10K / well (F3)	WT (1) 10K / well (F4)	WT (1) 10K / well (G3)	WT (1) 10K / well (G4)	WT (1) 10K / well (H3)	WT (1) 10K / well (H4)	CDR2L KO (1) 10K / well (A11)	CDR2L KO (1) 10K / well (A12)	CDR2L KO (1) 10K / well (B11)	CDR2L KO (1) 10K / well (B12)	CDR2L KO (1) 10K / well (C11)	CDR2L KO (1) 10K / well (C12)	CDR2L KO (1) 10K / well (D11)	CDR2L KO (1) 10K / well (D12)	CDR2L KO (1) 10K / well (E11)	CDR2L KO (1) 10K / well (E12)	CDR2L KO (1) 10K / well (F11)	CDR2L KO (1) 10K / well (F12)	CDR2L KO (1) 10K / well (G11)	CDR2L KO (1) 10K / well (G12)	CDR2L KO (1) 10K / well (H11)	CDR2L KO (1) 10K / well (H12)
13.11.2023 16:00:00	0	19,77095	15,44837	23,00304	18,94076	19,19328	14,34566	21,03123	16,65428	17,42819	17,32825	17,89004	18,82867	17,86424	19,85422	15,96119	18,73778	9,100652	6,483307	11,45087	8,242122	11,52517	8,062557	10,03682	8,342066	9,720078	8,148608	10,28791	8,19989	9,935604	10,16383	7,20633	7,034544
13.11.2023 18:00:00	2	31,51466	23,63786	35,58591	28,38855	29,50317	21,01663	32,65778	25,8521	26,71507	27,12104	28,47429	27,77206	27,37157	31,19673	25,19941	27,97497	12,61582	8,993801	16,82067	11,34521	16,44296	11,4038	14,23643	12,41522	14,42846	12,3098	12,39458	10,82104	13,93779	14,5958	9,780886	10,46247
13.11.2023 20:00:00	4	37,18922	27,88185	42,06009	33,82146	35,94266	26,21726	37,31337	30,70329	33,70159	32,45686	33,48059	33,67929	33,58942	36,3102	30,20119	33,83162	15,19855	9,128912	20,25193	12,97352	20,12373	14,56547	17,12487	15,22229	17,59728	13,76958	14,99184	12,60153	17,26521	17,30276	11,91939	12,58081
13.11.2023 22:00:00	6	41,1471	31,56428	45,52676	37,05426	40,72804	28,57606	41,75089	32,90586	36,63964	35,83049	37,34973	37,72759	37,53635	40,7763	32,49052	37,69353	17,2137	10,19392	22,5442	14,77409	22,59993	16,69231	18,81502	16,74438	19,66148	15,76455	17,18337	14,35844	19,12032	20,10833	14,23127	14,88015
14.11.2023 00:00:00	8	45,63202	33,89481	50,52925	40,81171	43,89805	31,59937	44,47683	36,41689	40,79361	39,36337	41,68778	40,43623	41,92188	44,22686	36,17533	41,0555	19,95686	11,65822	24,6781	15,66294	25,60117	17,92418	21,2162	18,70467	22,01368	17,32229	19,56892	15,86339	21,21961	22,53888	15,49124	16,28348
14.11.2023 02:00:00	10	49,46615	38,52277	54,73481	44,55923	47,14959	35,67093	48,2003	39,99628	45,30972	43,50907	46,06466	43,35221	45,21423	49,32318	39,40361	44,78603	22,51991	12,92256	27,98989	17,80391	27,94139	20,7703	24,27682	20,19763	24,35978	19,68045	20,7095	19,09397	24,11503	24,55974	17,11375	18,971
14.11.2023 04:00:00	12	53,41371	42,86257	58,75843	47,45267	50,63094	38,10807	52,5605	43,63521	48,86244	47,29351	49,88807	46,60922	49,47353	53,93066	43,39349	49,33596	26,17964	14,34209	31,67875	19,8651	31,40908	24,60634	25,61268	22,6855	28,5913	22,41123	22,59977	22,52824	26,46692	26,34785	19,45913	21,10617
14.11.2023 06:00:00	14	58,41907	45,05617	62,4172	51,34467	55,12061	41,99587	56,19165	46,34964	52,86756	50,37826	54,40228	49,90522	53,3772	57,96436	47,1923	53,09261	28,8335	15,84045	34,99657	23,1183	35,64973	26,84518	28,00537	24,32786	29,77308	24,31437	26,04532	21,95986	29,39283	29,55104	21,77879	22,16935
14.11.2023 08:00:00	16	62,80975	49,13401	66,75295	55,77648	59,14915	44,22471	60,01245	50,17957	57,35025	54,6825	59,15336	53,89843	58,3019	60,83819	50,92489	57,61388	31,11259	17,55838	37,45483	25,07835	38,41259	27,71721	31,75305	26,59314	32,20578	27,16129	28,31393	24,51917	31,04551	32,00985	24,13734	24,37065
14.11.2023 10:00:00	18	66,73978	51,70317	70,17072	58,86036	63,52753	47,58873	64,89046	52,82231	61,00871	57,97635	63,27105	57,38574	62,20398	64,60754	54,36155	62,09943	33,73096	19,06928	40,60698	27,84573	41,54759	30,3698	33,9172	28,64409	33,99086	28,69005	30,37544	27,18312	35,01824	35,42	26,52686	26,52479
