Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Abundances (Normalized): F1: Sample	Abundances (Normalized): F2: Sample	Abundances (Normalized): F3: Sample	Abundances (Normalized): F4: Sample	Abundances (Normalized): F5: Sample	Abundances (Normalized): F6: Sample	Abundances (Normalized): F7: Sample	Abundances (Normalized): F8: Sample	Abundances (Normalized): F9: Sample	Abundances (Normalized): F10: Sample	Abundances (Normalized): F11: Sample	Abundances (Normalized): F12: Sample	Found in Sample: [S1] F1: Sample	Found in Sample: [S2] F2: Sample	Found in Sample: [S3] F3: Sample	Found in Sample: [S4] F4: Sample	Found in Sample: [S5] F5: Sample	Found in Sample: [S6] F6: Sample	Found in Sample: [S7] F7: Sample	Found in Sample: [S8] F8: Sample	Found in Sample: [S9] F9: Sample	Found in Sample: [S10] F10: Sample	Found in Sample: [S11] F11: Sample	Found in Sample: [S12] F12: Sample	# Protein Groups	Modifications
FALSE	Medium	Master Protein	Q9UKX5	Integrin alpha-11 OS=Homo sapiens OX=9606 GN=ITGA11 PE=1 SV=2	0.023	FALSE	2.3	1	1	3	1	1188	133.4	6.7	0	1	0		11518.35427	8425.086801	56901.37958	62441.26263	64225.18599		11564.39648			20466.82297		Not Found	Peak Found	Peak Found	High	High	High	Not Found	Peak Found	Not Found	Not Found	Peak Found	Not Found	1	
FALSE	Low	Master Protein	Q9Y6X0	SET-binding protein OS=Homo sapiens OX=9606 GN=SETBP1 PE=1 SV=3	0.067	FALSE	1.855	1	1	1	1	1596	174.9	9.74	0	1	0	8183.220297		8805.796404	4177.520482		7916.487566	30127.71084		62039.96162		9426.793549	45216.54152	Peak Found	Not Found	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	Not Found	Peak Found	Not Found	Peak Found	High	1	
FALSE	High	Master Protein	E7ERA6	RING finger protein 223 OS=Homo sapiens OX=9606 GN=RNF223 PE=2 SV=1	0.003	FALSE	3.7	6	1	1	1	249	26.6	9.04	0	1	0	17339.32773	11206.71194	11599.91829	21230.50392	18568.58422	31001.76963	6648.183803	3121.51001	10978.1399	15555.42132	25141.96311	23281.3865	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	P42229	Signal transducer and activator of transcription 5A OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1	0.001	FALSE	5.557	3	2	3	1	794	90.6	6.39	2.12	2	0	13547.69834	11850.49854	14390.60035	54519.38735	37803.04381	47325.73232	23687.40715	24912.13086	30600.89655	25839.20899	20549.55411	24776.45339	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	Met-loss+Acetyl [N-Term]
FALSE	High	Master Protein	Q6N022	Teneurin-4 OS=Homo sapiens OX=9606 GN=TENM4 PE=1 SV=2	0.001	FALSE	5.774	1	2	20	1	2769	307.8	6.55	16.11	2	0	13302.17861	16876.24425	15247.85405	44614.834	37038.05337	35776.10921	11737.61665	13809.84766	8469.189992	13710.58721	16099.39088	14958.76821	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	Medium	Master Protein	Q9HCU8	DNA polymerase delta subunit 4 OS=Homo sapiens OX=9606 GN=POLD4 PE=1 SV=1	0.026	FALSE	2.242	15	1	5	1	107	12.4	6.77	0	1	0	16629.19133	18002.16515	18017.47151	23710.55943	26775.65921	21010.88019	20243.04697	19994.48438	33841.48215	64287.61232	74546.80212	70828.17556	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	1	
FALSE	Medium	Master Protein	Q13822	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Homo sapiens OX=9606 GN=ENPP2 PE=1 SV=3	0.034	FALSE	2.155	2	1	1	1	863	98.9	7.37	0	1	0	26975.5013	28191.15904	18782.43964	15613.52496	13933.16795	18719.52106	19749.24911		32403.30974	43723.6586	63944.6619	40772.34815	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	Medium	Master Protein	Q76I76	Protein phosphatase Slingshot homolog 2 OS=Homo sapiens OX=9606 GN=SSH2 PE=1 SV=1	0.028	FALSE	2.22	1	1	4	1	1423	158.1	5.41	0	1	0		25900.04557	19516.96242	22887.02661		23848.93545	25120.27981	39965.24219	28361.16832		27669.35585		Not Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Not Found	Peak Found	Not Found	1	
FALSE	High	Master Protein	Q29980	MHC class I polypeptide-related sequence B OS=Homo sapiens OX=9606 GN=MICB PE=1 SV=2	0.002	FALSE	4.609	6	2	7	2	383	42.5	7.31	0	2	0	303285.7301	490447.5711	19523.35588	71670.60271	877539.811	967543.5524	35879.09529	383186.0859		37792.65008	39890.52386	31960.97809	High	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Not Found	High	Peak Found	High	1	
FALSE	High	Master Protein	O43520	Phospholipid-transporting ATPase IC OS=Homo sapiens OX=9606 GN=ATP8B1 PE=1 SV=3	0	FALSE	6.449	3	2	3	2	1251	143.6	7.15	0	2	0	15838.40438		19710.54931		15907.13709				34872.70357	127160.4964	97436.31289	101083.4284	Peak Found	Not Found	Peak Found	Not Found	Peak Found	Not Found	Not Found	Not Found	Peak Found	Peak Found	High	High	1	
FALSE	Medium	Master Protein	Q9NSC7	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 OS=Homo sapiens OX=9606 GN=ST6GALNAC1 PE=2 SV=1	0.012	FALSE	2.623	3	1	1	1	600	68.5	9.92	0	1	0		5431.984716	19813.52745		7424.415773						15961.25939		Not Found	Peak Found	Peak Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	Peak Found	Not Found	1	
FALSE	Medium	Master Protein	Q96DU7	Inositol-trisphosphate 3-kinase C OS=Homo sapiens OX=9606 GN=ITPKC PE=1 SV=1	0.011	FALSE	2.659	3	1	1	1	683	75.2	5.14	0	1	0	6615.562889	18241.27999	20066.84405	32569.93375	19462.46126	16587.46957	30877.97487	29157.69922	34944.45997	26055.73882	36690.84197	33527.44632	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	1	
FALSE	High	Master Protein	P02584	SWISS-PROT:P02584 (Bos taurus) Profilin-1	0	TRUE	29.022	31	4	1082	1	140	15	8.28	1221.03	4	0	20221.92853	24745.34448	21612.99089	29532.15446	54107.6931	43445.63897	40807.29848	45064.875	34907.26604	18940.26355	14527.39666	17803.44978	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	1	
FALSE	Medium	Master Protein	Q9UNA0	A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens OX=9606 GN=ADAMTS5 PE=1 SV=2	0.021	FALSE	2.353	2	1	3	1	930	101.7	8.85	0	1	0	22487.41648		22243.36783	88553.74221	80209.16931	65948.18457							Peak Found	Not Found	Peak Found	High	High	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Q96CD0	F-box/LRR-repeat protein 8 OS=Homo sapiens OX=9606 GN=FBXL8 PE=1 SV=1	0.008	FALSE	2.826	5	1	1	1	374	40.5	7.31	0	1	0	25825.6025	28755.58776	23077.29558	31222.76785	20983.20738	25002.43911	27644.24318	32159.70508	22519.78807	45465.35928	48283.95675	61961.77267	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	1	
FALSE	High	Master Protein	Q96GU1	P antigen family member 5 OS=Homo sapiens OX=9606 GN=PAGE5 PE=1 SV=2	0	FALSE	37.05	59	4	19	4	130	14	4.35	57.36	4	0	67245.40661	79875.13614	23196.12469				5703670.141	4236573.063	3544777.198	277460.7488	285987.7331	218622.9456	Peak Found	Peak Found	Peak Found	Not Found	Not Found	Not Found	High	High	High	Peak Found	High	Peak Found	1	
FALSE	High	Master Protein	Q01432	AMP deaminase 3 OS=Homo sapiens OX=9606 GN=AMPD3 PE=1 SV=1	0.002	FALSE	4.26	2	1	6	1	767	88.8	6.98	0	1	0	39953.14232	49067.89163	25797.92573	60157.65504	54180.5903	46196.95303	35270.90472	46045.07813	43716.51543	63944.31263	64474.53967	54160.20423	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	1	
FALSE	High	Master Protein	Q92963	GTP-binding protein Rit1 OS=Homo sapiens OX=9606 GN=RIT1 PE=1 SV=1	0.003	FALSE	3.815	5	1	6	1	219	25.1	9.1	0	1	0	33528.13525	26559.00319	25828.91655	46938.20415	41277.44495	40759.44741	37493.03184	47147.25391	32225.01732	43781.38099	39352.15541	31934.28247	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	Peak Found	High	1	
FALSE	High	Master Protein	Q5TBA9	Protein furry homolog OS=Homo sapiens OX=9606 GN=FRY PE=1 SV=1	0	FALSE	6.235	1	2	7	1	3013	338.7	5.99	0	2	0	28998.97546	28820.68149	25868.04229	116335.7655	68305.30164	79322.09895	20387.3316	12843.12891	19377.07126	25335.9303	23427.02134	22304.70269	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	O15439	ATP-binding cassette sub-family C member 4 OS=Homo sapiens OX=9606 GN=ABCC4 PE=1 SV=3	0.001	FALSE	5.317	2	2	7	1	1325	149.4	8.19	8.71	2	0	17472.86399	21593.37057	26301.46389	41430.01853	44225.89256	42413.1413	32769.26676	26056.16406	21660.90208	9284.338629	15636.5092	9160.959463	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q8N3R3	T-cell activation inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=TCAIM PE=2 SV=2	0.005	FALSE	3.091	3	1	2	1	496	57.9	8.69	0	1	0	25462.34225	30633.09024	26341.2415	40840.09905	43338.96795	34934.7296	38320.30142	39821.23828	39601.81497	45027.36464	52842.35535	40354.16401	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9P2P5	E3 ubiquitin-protein ligase HECW2 OS=Homo sapiens OX=9606 GN=HECW2 PE=1 SV=2	0.001	FALSE	5.963	1	1	6	1	1572	175.7	5.41	7.93	1	0	28941.57954		26883.54445	54608.21336		14390.84863	82984.20982	81222.67188	93911.74092	54310.77858			Peak Found	High	Peak Found	High	Not Found	Peak Found	High	High	High	Peak Found	High	Not Found	1	
FALSE	High	Master Protein	Q4G0M1	Erythroferrone OS=Homo sapiens OX=9606 GN=ERFE PE=2 SV=2	0.003	FALSE	3.73	5	1	1	1	354	37.3	9.83	2.03	1	0		36332.84584	27639.23284	60882.33948	67048.87889	53130.45694				29654.65459		26164.87763	Not Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Not Found	Not Found	Not Found	Peak Found	Not Found	Peak Found	1	
FALSE	High	Master Protein	Q12866	Tyrosine-protein kinase Mer OS=Homo sapiens OX=9606 GN=MERTK PE=1 SV=2	0.002	FALSE	4.638	2	2	15	1	999	110.2	5.8	21.88	2	0	28984.00357	27291.50194	28068.96949	58664.09429	50038.20571	54161.78661	47349.81232	43685.38672	40962.11645	50886.5423	51810.88145	56681.58969	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q96BW5	Phosphotriesterase-related protein OS=Homo sapiens OX=9606 GN=PTER PE=1 SV=1	0.006	FALSE	3.009	5	1	1	1	349	39	6.52	0	1	0	32076.74802	30819.1179	28204.97621	28221.52576		36831.9964	78235.73224	141186.4844	74200.02223	41717.4737	68757.65233	6396.545491	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9NYA1	Sphingosine kinase 1 OS=Homo sapiens OX=9606 GN=SPHK1 PE=1 SV=1	0.001	FALSE	5.668	4	1	3	1	384	42.5	7.11	4.3	1	0	38963.58645	48548.327	28576.64514	104539.2558	82428.48999	71248.14655	39392.46919	34802.24219	38086.10801	58972.70555	53836.23004	30481.71171	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	Low	Master Protein	A6NCS6	Uncharacterized protein C2orf72 OS=Homo sapiens OX=9606 GN=C2orf72 PE=1 SV=2	0.059	FALSE	1.903	3	1	4	1	295	30.5	8.34	0	1	0	31956.67423	32233.71407	28582.7194	44146.82775	56743.78066	47991.35007	23463.73435	22851.18164	26510.48392	31552.85441	37493.15559	24999.80765	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9UBQ6	Exostosin-like 2 OS=Homo sapiens OX=9606 GN=EXTL2 PE=1 SV=1	0.005	FALSE	3.189	5	1	2	1	330	37.4	8.95	0	1	0	28066.03373	23650.58854	28679.87245	41483.4518	47101.56344	37395.29071	35276.17766	53899.55078	56682.90724	22864.62078	22020.53231	26662.40853	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
