"Master"	"Accession"	"Description"	"Exp..q.value..Combined"	"Contaminant"	"Sum.PEP.Score"	"Coverage...."	"X..Peptides"	"X..PSMs"	"X..Unique.Peptides"	"X..AAs"	"MW..kDa."	"calc..pI"	"Score.Sequest.HT..Sequest.HT"	"X..Peptides..by.Search.Engine...Sequest.HT"	"X..Razor.Peptides"	"Abundances..Normalized...F1..Sample"	"Abundances..Normalized...F2..Sample"	"Abundances..Normalized...F3..Sample"	"Abundances..Normalized...F4..Sample"	"Abundances..Normalized...F5..Sample"	"Abundances..Normalized...F6..Sample"	"Abundances..Normalized...F7..Sample"	"Abundances..Normalized...F8..Sample"	"Abundances..Normalized...F9..Sample"	"Abundances..Normalized...F10..Sample"	"Abundances..Normalized...F11..Sample"	"Abundances..Normalized...F12..Sample"
"IsMasterProtein"	"Q15149"	"Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3"	0	"FALSE"	759.527	37	161	2406	155	4684	531.5	5.96	4547.38	161	6	318175104	417349248	372661152	612871616	641851200	499370816	482417184	293806464	389069152	233081920	238405904	278589696
"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2"	0	"FALSE"	662.944	44	123	2219	123	5890	628.7	6.15	3598.07	123	0	322938816	360916384	317811968	430987968	421133568	466181920	237142640	115089624	125596952	221853984	221518512	288123840
"IsMasterProtein"	"Q9NYQ8"	"Protocadherin Fat 2 OS=Homo sapiens OX=9606 GN=FAT2 PE=1 SV=2"	0	"FALSE"	970.521	36	118	4897	118	4349	479	5.16	12107.4	118	0	1259785216	1105622656	1139302144	1718494720	1700848256	1853849984	798902720	729673920	684190144	3028995584	2891720448	2778459904
"IsMasterProtein"	"Q99715"	"Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2"	0	"FALSE"	920.981	49	118	8194	118	3063	332.9	5.53	19518.2	118	0	2660925696	2696427264	2218925824	3701065216	3054289664	3541167872	3329669120	3405827072	3264926976	3415892480	4404788736	2589548544
"IsMasterProtein"	"P01024"	"Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2"	0	"FALSE"	1260.715	75	113	41574	105	1663	187	6.4	111054.1	113	8	44079222784	36857475072	39071858688	25743669248	26214096896	26346973184	33567606784	39213588480	35265679360	45043347456	41237782528	38257614848
"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4"	0	"FALSE"	934.483	53	110	5288	98	2647	280.6	6.06	13492.61	110	13	2765920512	3043496704	3073597952	2340863232	2659897344	2721309184	2291554816	2407394304	2749872896	2824162816	2928914688	2807800064
"IsMasterProtein"	"Q14517"	"Protocadherin Fat 1 OS=Homo sapiens OX=9606 GN=FAT1 PE=1 SV=2"	0	"FALSE"	575.148	25	98	2409	97	4588	506	5	4796.15	98	1	578537088	508197568	493411936	347986880	356027968	386138848	464380928	390905056	388820736	392189088	377303072	370407168
"IsMasterProtein"	"Q13813"	"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3"	0	"FALSE"	554.821	50	98	1471	98	2472	284.4	5.35	3148.56	98	0	172774224	208408576	171254304	282040064	322559584	234061536	224456448	171069920	187686528	183725360	189664048	190911536
"IsMasterProtein"	"O75369"	"Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2"	0	"FALSE"	671.495	46	98	3431	87	2602	278	5.73	8063.55	98	2	773112256	849800000	887609536	552111936	637203840	592529024	491584032	511683584	592909312	819967616	814445120	787735808
"IsMasterProtein"	"P98160"	"Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4"	0	"FALSE"	704.764	31	91	3510	91	4391	468.5	6.51	8644.54	91	0	932429312	918836352	830199104	713818944	782415424	683820800	1172624384	1400188928	1347573888	1242821248	1200223744	1116099200
"IsMasterProtein"	"P25391"	"Laminin subunit alpha-1 OS=Homo sapiens OX=9606 GN=LAMA1 PE=1 SV=2"	0	"FALSE"	597.207	33	87	3347	87	3075	336.9	6.35	6661.27	87	0	780063104	759224064	691037824	1564665728	1704980864	1688416384	428506912	387158112	363857920	885374336	908592448	808930304
"IsMasterProtein"	"P02751"	"Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5"	0	"FALSE"	930.877	44	84	11135	84	2477	272.2	5.5	31454.78	84	0	17127868416	19615586304	15618640896	3758491904	2562028288	3260316672	43673288704	42966585344	50223099904	7418916352	8512522240	6354994176
"IsMasterProtein"	"O15230"	"Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8"	0	"FALSE"	654.68	28	82	4949	81	3695	399.5	7.02	11285.93	82	1	2094016640	2039766272	1841739904	2345081856	2786051584	2221783808	2078729728	1650691328	1570525056	2369278720	2113424128	2343319552
"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4"	0	"FALSE"	535.214	40	82	2393	68	1960	226.4	5.6	5402.02	82	13	411655328	513368832	346349536	692830464	654105664	690916480	575689152	243500944	395339488	317240288	325678720	425160192
"IsMasterProtein"	"Q7Z6Z7"	"E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3"	0	"FALSE"	389.18	22	71	1033	71	4374	481.6	5.22	2107.53	71	0	207898528	249818784	223541808	92328360	99251104	112095664	77726632	86410448	89930632	129478600	142411440	148697936
"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3"	0	"FALSE"	398.281	38	70	1712	70	2511	273.3	6.44	3352.49	70	0	219297952	272981600	254829136	149029296	178701024	162261264	99303984	128779784	158285280	146742432	149216944	162902080
"IsMasterProtein"	"Q8WXI7"	"Mucin-16 OS=Homo sapiens OX=9606 GN=MUC16 PE=1 SV=3"	0	"FALSE"	556.28	8	70	2683	70	14507	1518.2	5.26	5153.28	70	0	337285792	299765888	312981504	1207264128	1105482880	1134441344	606047744	688200128	605027840	2629294080	2663002624	2446989824
"IsMasterProtein"	"P24821"	"Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3"	0	"FALSE"	636.211	43	69	6118	69	2201	240.7	4.89	14929.39	69	0	2989586688	3080315136	2132974208	7561144832	5076236288	7984531968	2216656384	1514117504	1827749888	1844365824	2924884736	1497286400
"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5"	0	"FALSE"	305.254	18	68	570	68	4646	532.1	6.4	941.71	68	0	97754040	126272472	101774928	54360064	55430956	43038388	62001832	65060104	73296816	78802192	88072224	66243864
"IsMasterProtein"	"Q2UVX4"	"SWISS-PROT:Q2UVX4 (Bos taurus) Complement C3 precursor"	0	"TRUE"	415.348	46	66	2709	58	1662	187.2	6.84	5635.84	66	0	257626160	176649920	525915232	174212544	175555600	156508000	164401856	290538208	96579296	340045792	419908640	491072512
"IsMasterProtein"	"Q01082"	"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2"	0	"FALSE"	357.555	35	64	869	60	2364	274.4	5.57	1712.65	64	4	190502608	224022928	198013936	203190704	220790864	178408640	151556000	103287336	114805008	144767984	129093768	164119184
"IsMasterProtein"	"Q16787"	"Laminin subunit alpha-3 OS=Homo sapiens OX=9606 GN=LAMA3 PE=1 SV=2"	0	"FALSE"	456.972	22	62	2532	61	3333	366.4	7.24	6004.27	62	0	1338622208	1277425536	1181541760	364910048	383160896	345954464	1301297408	1224337024	1335480704	517029760	487751296	559676608
"IsMasterProtein"	"P12270"	"Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3"	0	"FALSE"	330.386	31	61	667	60	2363	267.1	5.02	1670.69	61	1	75088400	87128568	73172552	149359456	151007728	153757200	51962228	31374852	39653012	54977160	56624800	69420544
"IsMasterProtein"	"Q02952"	"A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4"	0	"FALSE"	455.605	42	60	1106	60	1782	191.4	4.41	2755.74	60	0	160717056	165825280	157685376	277147776	276423648	323930496	80062792	52327440	80065608	204357568	206823872	220090512
"IsMasterProtein"	"P78527"	"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3"	0	"FALSE"	274.221	17	60	799	60	4128	468.8	7.12	1145.81	60	0	108801552	128028368	125514232	24402054	21139410	26011670	38834280	47001924	49862528	61347448	73584384	68499144
"IsMasterProtein"	"Q92626"	"Peroxidasin homolog OS=Homo sapiens OX=9606 GN=PXDN PE=1 SV=2"	0	"FALSE"	443.727	52	58	3535	58	1479	165.2	7.17	8995.31	58	0	787739648	744381888	756680512	756852480	891984448	900577280	1716333056	1698183296	1546164608	1524511488	1776013568	1468370432
"IsMasterProtein"	"O60437"	"Periplakin OS=Homo sapiens OX=9606 GN=PPL PE=1 SV=4"	0	"FALSE"	265.45	35	58	994	58	1756	204.6	5.6	1790.26	58	0	85074864	108933024	88515840	197137984	221930560	189627152	128726376	70631792	91355432	108423744	130938944	120475176
"IsMasterProtein"	"ENSEMBL:ENSBTAP00000024146"	"(Bos taurus) similar to alpha-2-macroglobulin isoform 1"	0	"TRUE"	475.109	49	56	2067	53	1477	164.2	6.02	5259.85	56	4	1093309184	686338240	2822489600	607839040	613777024	501499008	512378720	1818793728	336641696	1893361792	2454544640	3151973632
"IsMasterProtein"	"P35580"	"Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3"	0	"FALSE"	282.776	29	54	667	41	1976	228.9	5.54	1375.24	54	4	30958640	60335308	33148428	85852296	71863992	97483384	83007088	18457776	35168688	27570724	21924874	28865564
